Date,P/E,P/B,Div Yield
1-Jan-09,13.3,2.5,1.86
2-Jan-09,13.36,2.51,1.85
5-Jan-09,13.68,2.58,1.81
6-Jan-09,13.64,2.57,1.82
7-Jan-09,12.8,2.41,1.93
9-Jan-09,12.59,2.37,1.97
12-Jan-09,12.32,2.31,2.02
13-Jan-09,12.16,2.28,2.04
14-Jan-09,12.56,2.36,1.98
15-Jan-09,12.1,2.28,2.05
16-Jan-09,12.51,2.35,1.98
19-Jan-09,12.58,2.37,1.97
20-Jan-09,12.36,2.33,2
21-Jan-09,11.97,2.25,2.07
22-Jan-09,11.96,2.26,2.06
23-Jan-09,12.27,2.23,2.09
27-Jan-09,12.67,2.3,2.02
28-Jan-09,13.1,2.37,1.97
29-Jan-09,13.17,2.35,1.98
30-Jan-09,13.4,2.39,1.95
2-Feb-09,13.12,2.3,2.02
3-Feb-09,13.2,2.31,2.01
4-Feb-09,13.29,2.33,2
5-Feb-09,13.19,2.31,2.02
6-Feb-09,13.49,2.36,1.97
9-Feb-09,13.86,2.43,1.92
10-Feb-09,13.93,2.44,1.91
11-Feb-09,13.89,2.43,1.91
12-Feb-09,13.73,2.41,1.94
13-Feb-09,14,2.45,1.9
16-Feb-09,13.52,2.36,1.97
17-Feb-09,13.15,2.3,2.02
18-Feb-09,13.18,2.3,2.02
19-Feb-09,13.24,2.31,2.01
20-Feb-09,12.99,2.27,2.05
24-Feb-09,12.98,2.27,2.05
25-Feb-09,13.11,2.29,2.03
26-Feb-09,13.22,2.31,2.01
27-Feb-09,13.12,2.29,2.03
2-Mar-09,12.7,2.22,2.09
3-Mar-09,12.45,2.18,2.14
4-Mar-09,12.56,2.19,2.12
5-Mar-09,12.23,2.14,2.17
6-Mar-09,12.44,2.17,2.14
9-Mar-09,12.21,2.14,2.18
12-Mar-09,12.42,2.17,2.14
13-Mar-09,12.91,2.26,2.06
16-Mar-09,13.18,2.3,2.02
17-Mar-09,13.09,2.29,2.03
18-Mar-09,13.27,2.32,2
19-Mar-09,13.33,2.33,2
20-Mar-09,13.33,2.33,2
23-Mar-09,13.96,2.44,1.9
24-Mar-09,13.96,2.44,1.91
25-Mar-09,14.17,2.48,1.88
26-Mar-09,14.64,2.56,1.82
27-Mar-09,14.7,2.57,1.8
30-Mar-09,14.08,2.46,1.88
31-Mar-09,14.29,2.5,1.85
1-Apr-09,14.49,2.53,1.83
