Date,P/E,P/B,Div Yield
2-Jan-17,22.08,3.1,1.35
3-Jan-17,22.12,3.11,1.35
4-Jan-17,21.94,3.11,1.35
5-Jan-17,22.17,3.14,1.33
6-Jan-17,22.09,3.13,1.34
9-Jan-17,22.07,3.12,1.34
10-Jan-17,22.39,3.14,1.33
11-Jan-17,22.42,3.18,1.32
12-Jan-17,22.5,3.19,1.31
13-Jan-17,22.47,3.18,1.31
16-Jan-17,22.5,3.19,1.31
17-Jan-17,22.4,3.18,1.32
18-Jan-17,22.39,3.19,1.31
19-Jan-17,22.44,3.2,1.31
20-Jan-17,22.37,3.17,1.32
23-Jan-17,22.48,3.18,1.32
24-Jan-17,22.64,3.21,1.3
25-Jan-17,22.98,3.26,1.28
27-Jan-17,23,3.28,1.28
30-Jan-17,22.98,3.27,1.28
31-Jan-17,22.86,3.25,1.29
1-Feb-17,23.27,3.3,1.27
2-Feb-17,23.38,3.31,1.26
3-Feb-17,23.29,3.31,1.26
6-Feb-17,23.43,3.34,1.25
7-Feb-17,23.31,3.32,1.26
8-Feb-17,23.28,3.32,1.26
9-Feb-17,23.31,3.33,1.26
10-Feb-17,23.34,3.33,1.26
13-Feb-17,23.15,3.34,1.25
14-Feb-17,23.05,3.33,1.26
15-Feb-17,22.84,3.31,1.27
16-Feb-17,23.08,3.33,1.26
17-Feb-17,23.1,3.34,1.25
20-Feb-17,23.19,3.37,1.24
21-Feb-17,23.27,3.38,1.24
22-Feb-17,23.32,3.38,1.24
23-Feb-17,23.36,3.39,1.24
27-Feb-17,23.21,3.37,1.25
28-Feb-17,23.13,3.37,1.25
1-Mar-17,23.3,3.39,1.24
2-Mar-17,23.11,3.37,1.25
3-Mar-17,23.1,3.37,1.25
6-Mar-17,23.27,3.4,1.24
7-Mar-17,23.23,3.39,1.24
8-Mar-17,23.17,3.38,1.24
9-Mar-17,23.18,3.38,1.24
10-Mar-17,23.2,3.39,1.24
14-Mar-17,23.59,3.44,1.22
15-Mar-17,23.59,3.44,1.22
16-Mar-17,23.77,3.47,1.21
