_id_x,EOD_INDEX_NAME,EOD_OPEN_INDEX_VAL,EOD_HIGH_INDEX_VAL,EOD_CLOSE_INDEX_VAL,EOD_LOW_INDEX_VAL,EOD_TIMESTAMP,TIMESTAMP,_id_y,HIT_INDEX_NAME_UPPER,HIT_TRADED_QTY,HIT_TURN_OVER,HIT_TIMESTAMP
6592aa701f3097105c5a23b5,NIFTY 50,21727.75,21834.35,21741.9,21680.85,01-JAN-2024,2023-12-31T18:30:00.000Z,6592c7ba1f3097105c5a2e4a,NIFTY 50,153995217.0,14184.09,01-01-2024
6593fae2c4132a5d6c53f794,NIFTY 50,21751.35,21755.6,21665.8,21555.65,02-JAN-2024,2024-01-01T18:30:00.000Z,65940dfac4132a5d6c540841,NIFTY 50,263711568.0,25316.13,02-01-2024
65954d6d0920b679ebe5a39b,NIFTY 50,21661.1,21677.0,21517.35,21500.35,03-JAN-2024,2024-01-02T18:30:00.000Z,659563d00920b679ebe5b1c2,NIFTY 50,311933117.0,32329.23,03-01-2024
65969eed8bc6e5de3cccf192,NIFTY 50,21605.8,21685.65,21658.6,21564.55,04-JAN-2024,2024-01-03T18:30:00.000Z,6596b5518bc6e5de3cccfbf9,NIFTY 50,339172697.0,30868.15,04-01-2024
6597ef5a81dced1976cdcfe7,NIFTY 50,21705.75,21749.6,21710.8,21629.2,05-JAN-2024,2024-01-04T18:30:00.000Z,6598090a81dced1976cde30c,NIFTY 50,309303266.0,26554.49,05-01-2024
659be3da0e4dca342c4d3382,NIFTY 50,21747.6,21763.95,21513.0,21492.9,08-JAN-2024,2024-01-07T18:30:00.000Z,659bfd8b0e4dca342c4d4cbd,NIFTY 50,231452935.0,21140.94,08-01-2024
659d355acd960f131d88d6e2,NIFTY 50,21653.6,21724.45,21544.85,21517.85,09-JAN-2024,2024-01-08T18:30:00.000Z,659d4cb3cd960f131d88e531,NIFTY 50,228568589.0,24055.74,09-01-2024
659e86da3207e4f9f5290a1b,NIFTY 50,21529.3,21641.85,21618.7,21448.65,10-JAN-2024,2024-01-09T18:30:00.000Z,659ea08b3207e4f9f5291b03,NIFTY 50,216991926.0,20958.96,10-01-2024
659fd85aea2187a7f76e7d8e,NIFTY 50,21688.0,21726.5,21647.2,21593.75,11-JAN-2024,2024-01-10T18:30:00.000Z,659feb7bea2187a7f76e8ad5,NIFTY 50,212453866.0,23492.12,11-01-2024
65a129db40ce9096768bcc8a,NIFTY 50,21773.55,21928.25,21894.55,21715.15,12-JAN-2024,2024-01-11T18:30:00.000Z,65a14a933f983e148b15d718,NIFTY 50,294678459.0,30565.5,12-01-2024
