Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-30,2022-08-07,Final,60,1.2,Rs.1.2000 per share(60%)Final Dividend,JUBLFOOD,05/30/2022,08/07/2022
2021-06-15,2021-06-08,Final,60,6.0,Rs.6.0000 per share(60%)Final Dividend,JUBLFOOD,06/15/2021,06/08/2021
2020-02-27,2020-09-03,Interim,60,6.0,Rs.6.0000 per share(60%)Interim Dividend,JUBLFOOD,02/27/2020,09/03/2020
2019-05-15,2019-09-16,Final,50,5.0,Rs.5.0000 per share(50%)Final Dividend,JUBLFOOD,05/15/2019,09/16/2019
2018-08-05,2018-09-18,Final,25,2.5,Rs.2.5000 (25% Post Bonus) Dividend and Rs.5.0000 ( 50% Pre Bonus) Dividend,JUBLFOOD,08/05/2018,09/18/2018
2017-02-06,2017-08-18,Final,25,2.5,Rs.2.5000 per share(25%)Dividend,JUBLFOOD,02/06/2017,08/18/2017
2016-05-30,2016-08-24,Final,25,2.5,Rs.2.5000 per share(25%)Dividend,JUBLFOOD,05/30/2016,08/24/2016
2015-05-14,2015-08-26,Final,25,0.0,Rs.2.5000 per share(25%)Dividend,JUBLFOOD,05/14/2015,08/26/2015
