Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2011-04-21,2011-08-06,Final,800,8.0,Rs.8.00 per share(800%)Final Dividend,TCS,04/21/2011,08/06/2011
2011-01-17,2011-01-27,Interim,200,2.0,Third Interim Dividend,TCS,01/17/2011,01/27/2011
2010-10-21,2010-01-11,Interim,200,2.0,Second Interim Dividend,TCS,10/21/2010,01/11/2010
2010-07-15,2010-07-29,Interim,200,2.0,,TCS,07/15/2010,07/29/2010
2010-04-19,2010-06-15,Final,1400,14.0,Rs.10.00 per share(1000%) Special Dividend & Rs.4.00 per share(400%)Final Dividend,TCS,04/19/2010,06/15/2010
2010-01-15,2010-01-27,Interim,200,2.0,Third Interim Dividend,TCS,01/15/2010,01/27/2010
2009-10-20,2009-10-28,Interim,200,2.0,Second Interim Dividend,TCS,10/20/2009,10/28/2009
2009-07-20,2009-07-27,Interim,200,2.0,,TCS,07/20/2009,07/27/2009
2009-04-21,2009-06-16,Final,500,5.0,& Bonus Issue,TCS,04/21/2009,06/16/2009
2009-07-01,2009-01-28,Interim,300,3.0,Third Interim Dividend,TCS,07/01/2009,01/28/2009
2008-10-14,2008-10-29,Interim,300,3.0,Second Interim Dividend,TCS,10/14/2008,10/29/2008
2008-07-17,2008-10-29,Interim,300,0.0,Second Interim Dividend,TCS,07/17/2008,10/29/2008
2008-08-07,2008-07-31,Interim,300,3.0,,TCS,08/07/2008,07/31/2008
2008-04-21,2008-06-18,Final,500,5.0,,TCS,04/21/2008,06/18/2008
2008-08-01,2008-01-23,Interim,300,3.0,Third Interim Dividend,TCS,08/01/2008,01/23/2008
2007-03-10,2007-10-22,Interim,300,3.0,Second Interim Dividend,TCS,03/10/2007,10/22/2007
2007-06-07,2007-07-27,Interim,300,3.0,,TCS,06/07/2007,07/27/2007
2007-04-16,2007-06-15,Final,400,4.0,AGM,TCS,04/16/2007,06/15/2007
2007-08-01,2007-01-22,Interim,300,3.0,Third Interim Dividend,TCS,08/01/2007,01/22/2007
2006-09-10,2006-10-23,Interim,300,3.0,Second Interim Dividend,TCS,09/10/2006,10/23/2006
2006-11-07,2006-07-28,Interim,300,3.0,Interim Dividend (Pre Bonus) & Bonus issue,TCS,11/07/2006,07/28/2006
2006-04-17,2006-06-16,Final,450,4.5,Final Dividend of Rs.4.50 per equity share of Re.1/- each,TCS,04/17/2006,06/16/2006
2006-04-01,2006-01-18,Interim,300,3.0,Third Interim Dividend of Rs.3.00 per equity share of Re.1/- each.,TCS,04/01/2006,01/18/2006
2005-04-10,2005-10-18,Interim,300,3.0,Second Interim Dividend,TCS,04/10/2005,10/18/2005
2005-07-18,2005-08-18,Interim,300,3.0,,TCS,07/18/2005,08/18/2005
2005-04-19,2005-06-07,Final,500,5.0,AGM,TCS,04/19/2005,06/07/2005
2005-01-13,2005-03-02,Interim,350,3.5,Second Interim Dividend,TCS,01/13/2005,03/02/2005
2004-10-14,2004-10-28,Interim,300,3.0,,TCS,10/14/2004,10/28/2004
