Trading Date,Open,High,Low,Close,Shares Traded Qty,Turnover Rs In Cr
01-JAN-2013,5937.65,5963.9,5935.2,5950.85,77902745.0,3298.74
02-JAN-2013,5982.6,6006.05,5982.0,5993.25,116057389.0,4992.9
03-JAN-2013,6015.8,6017.0,5986.55,6009.5,99989933.0,4883.13
04-JAN-2013,6011.95,6020.75,5981.55,6016.15,113232990.0,5191.38
07-JAN-2013,6042.15,6042.15,5977.15,5988.4,110248018.0,5093.62
08-JAN-2013,5983.45,6007.05,5964.4,6001.7,109937502.0,5247.74
09-JAN-2013,6006.2,6020.1,5958.45,5971.5,129635568.0,6462.35
10-JAN-2013,5998.8,6005.15,5947.3,5968.65,129767384.0,6191.88
11-JAN-2013,6012.4,6018.85,5940.6,5951.3,128022002.0,8228.71
14-JAN-2013,5967.2,6036.9,5962.15,6024.05,134711348.0,7279.83
15-JAN-2013,6037.85,6068.5,6018.6,6056.6,138364003.0,6978.26
16-JAN-2013,6049.0,6055.95,5992.05,6001.85,128985952.0,6172.67
17-JAN-2013,6001.25,6053.2,5988.1,6039.2,178954867.0,7569.17
18-JAN-2013,6059.85,6083.4,6048.3,6064.4,186460701.0,8321.15
21-JAN-2013,6085.75,6094.35,6065.1,6082.3,130866385.0,6065.99
22-JAN-2013,6080.15,6101.3,6040.5,6048.5,129041713.0,5744.09
23-JAN-2013,6052.85,6069.8,6021.15,6054.3,136989190.0,5932.29
24-JAN-2013,6046.2,6065.3,6007.85,6019.35,185210189.0,7884.14
25-JAN-2013,6024.5,6080.55,6014.45,6074.65,147587200.0,6384.65
28-JAN-2013,6082.1,6088.4,6061.4,6074.8,113113004.0,5592.39
29-JAN-2013,6064.7,6111.8,6042.45,6049.9,157553752.0,8261.34
30-JAN-2013,6065.0,6071.95,6044.15,6055.75,124222858.0,6220.8
31-JAN-2013,6045.65,6058.05,6025.15,6034.75,168516750.0,8753.14
01-FEB-2013,6040.95,6052.95,5983.2,5998.9,159271140.0,6189.27
04-FEB-2013,6025.2,6038.5,5981.25,5987.25,141741868.0,6166.05
05-FEB-2013,5948.2,5970.35,5946.9,5956.9,136227506.0,5332.28
06-FEB-2013,5988.05,5990.9,5953.15,5959.2,157815926.0,5865.83
07-FEB-2013,5936.45,5978.5,5927.6,5938.8,157647191.0,5555.4
08-FEB-2013,5929.1,5953.7,5883.65,5903.5,192607376.0,6761.75
11-FEB-2013,5920.05,5924.15,5879.1,5897.85,121958667.0,5506.43
12-FEB-2013,5894.35,5927.65,5886.45,5922.5,142844560.0,4844.11
13-FEB-2013,5943.15,5969.5,5922.95,5932.95,142636632.0,5714.83
14-FEB-2013,5933.2,5940.2,5884.55,5896.95,143830565.0,7125.55
15-FEB-2013,5869.95,5899.95,5853.9,5887.4,125091945.0,5187.91
18-FEB-2013,5888.65,5911.0,5878.45,5898.2,114284193.0,4187.19
19-FEB-2013,5900.2,5947.55,5883.15,5939.7,100984778.0,3743.8
20-FEB-2013,5966.3,5971.0,5937.55,5943.05,135354164.0,5330.7
21-FEB-2013,5909.65,5921.15,5844.4,5852.25,159401234.0,6407.29
22-FEB-2013,5837.95,5873.8,5835.8,5850.3,157046865.0,5487.58
25-FEB-2013,5870.55,5878.4,5825.0,5854.75,125128736.0,4851.54
26-FEB-2013,5838.3,5838.85,5748.6,5761.35,157360222.0,5842.04
27-FEB-2013,5784.9,5818.2,5749.7,5796.9,175165933.0,6202.31
28-FEB-2013,5834.35,5849.9,5671.9,5693.05,334852895.0,12964.2
01-MAR-2013,5702.45,5739.45,5679.9,5719.7,174517984.0,6877.59
04-MAR-2013,5704.7,5712.0,5663.6,5698.5,144887325.0,5778.72
05-MAR-2013,5722.45,5790.1,5722.4,5784.25,154406134.0,6321.31
06-MAR-2013,5816.4,5828.7,5795.05,5818.6,156901392.0,6244.47
07-MAR-2013,5801.3,5878.0,5801.3,5863.3,134679762.0,5676.89
08-MAR-2013,5883.65,5952.85,5883.0,5945.7,150781148.0,6214.19
11-MAR-2013,5946.1,5971.2,5930.35,5942.35,125384918.0,5688.38
12-MAR-2013,5944.6,5952.0,5893.65,5914.1,115944389.0,5098.38
13-MAR-2013,5884.8,5893.85,5842.25,5851.2,116710808.0,4950.09
14-MAR-2013,5845.95,5920.15,5791.75,5908.95,149008437.0,7204.09
15-MAR-2013,5914.9,5945.65,5861.0,5872.6,152156666.0,6984.19
