STOCK,URL
SUPREMEIND,https://www.moneycontrol.com/company-facts/supremeindustries/dividends/SI48#SI48
TATACHEM,https://www.moneycontrol.com/company-facts/tatachemicals/dividends/TC#TC
TATACONSUM,https://www.moneycontrol.com/company-facts/tataconsumerproducts/dividends/TT#TT
TATAELXSI,https://www.moneycontrol.com/company-facts/tataelxsi/dividends/TE#TE
TATAMOTORS,https://www.moneycontrol.com/company-facts/tatamotors/dividends/TM03#TM03
TATAPOWER,https://www.moneycontrol.com/company-facts/tatapowercompany/dividends/TPC#TPC
TATASTEEL,https://www.moneycontrol.com/company-facts/tatasteel/dividends/TIS#TIS
TCS,https://www.moneycontrol.com/company-facts/tataconsultancyservices/dividends/TCS#TCS
TECHM,https://www.moneycontrol.com/company-facts/techmahindra/dividends/TM4#TM4
TITAN,https://www.moneycontrol.com/company-facts/titancompany/dividends/TI01#TI01
TRENT,https://www.moneycontrol.com/company-facts/trent/dividends/T04#T04
TRIDENT,https://www.moneycontrol.com/company-facts/trident/dividends/AI01#AI01
VOLTAS,https://www.moneycontrol.com/company-facts/voltas/dividends/V#V
WIPRO,https://www.moneycontrol.com/company-facts/wipro/dividends/W#W
