Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,40.76,40.61,40.55,40.48,40.48,40.37,38.47,38.47,38.41,38.41,38.4,38.4,NAUKRI
FIIs +,33.37,34.25,34.61,36.12,35.45,37.01,39.16,40.54,39.33,37.74,37.77,36.37,NAUKRI
DIIs +,15.16,14.34,14.1,12.92,13.38,12.57,12.83,11.4,11.25,13.26,13.61,14.36,NAUKRI
Public +,10.62,10.57,10.6,10.26,10.48,9.85,9.39,9.48,10.81,10.41,10.11,10.78,NAUKRI
Others +,0.09,0.22,0.14,0.23,0.21,0.2,0.15,0.11,0.2,0.17,0.11,0.08,NAUKRI
