Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,62.71,62.69,62.68,62.67,63.17,63.17,63.12,63.22,63.16,63.1,63.05,63.01,BAJAJELEC
FIIs +,5.7,5.44,5.35,5.71,7.96,9.19,9.53,10.92,12.42,12.03,12.86,11.75,BAJAJELEC
DIIs +,8.68,10.0,12.38,12.44,12.45,13.24,13.05,11.88,10.47,11.29,11.05,11.61,BAJAJELEC
Public +,22.91,21.87,19.6,19.18,16.41,14.39,14.3,13.98,13.95,13.57,13.04,13.64,BAJAJELEC
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,58.37,60.71,60.71,60.71,60.8,60.8,60.8,60.8,60.8,60.8,60.8,60.8,BAJAJFINSV
FIIs +,8.3,8.9,8.46,8.7,8.62,7.98,7.71,8.78,9.07,9.55,8.92,8.78,BAJAJFINSV
DIIs +,6.5,6.25,6.74,6.63,6.24,6.35,6.83,6.07,6.09,6.0,6.65,6.75,BAJAJFINSV
Public +,26.81,24.11,23.96,23.84,24.15,24.68,24.48,24.17,23.87,23.49,23.5,23.55,BAJAJFINSV
Others +,0.03,0.03,0.13,0.13,0.19,0.19,0.19,0.18,0.18,0.16,0.13,0.12,BAJAJFINSV
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,55.17,58.26,58.26,56.15,56.2,56.2,56.12,56.12,56.12,56.03,56.03,56.03,BAJFINANCE
FIIs +,20.67,21.28,20.65,22.22,21.16,21.24,21.31,23.89,24.06,24.03,23.64,22.85,BAJFINANCE
DIIs +,8.5,8.26,8.58,10.46,10.89,10.11,10.7,9.07,9.08,9.33,9.73,10.11,BAJFINANCE
Public +,15.47,11.78,12.14,10.87,11.46,12.22,11.55,10.64,10.57,10.4,10.42,10.91,BAJFINANCE
Others +,0.19,0.42,0.37,0.3,0.29,0.22,0.32,0.28,0.17,0.21,0.17,0.1,BAJFINANCE
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,53.38,53.46,53.61,53.64,53.67,53.7,53.7,53.7,53.7,53.68,53.7,53.7,BALAMINES
FIIs +,1.45,1.46,1.62,1.67,1.75,1.74,1.67,1.64,2.18,2.35,4.0,3.9,BALAMINES
DIIs +,1.04,0.39,0.24,0.22,0.25,0.39,0.31,0.37,0.45,0.3,0.48,0.16,BALAMINES
Public +,44.13,44.7,44.53,44.47,44.33,44.17,44.32,44.29,43.67,43.67,41.82,42.24,BALAMINES
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.3,58.29,BALKRISIND
FIIs +,11.46,10.63,11.17,11.68,11.93,12.99,11.52,15.54,14.4,15.18,15.42,15.07,BALKRISIND
DIIs +,15.03,15.95,15.94,17.49,17.8,17.78,18.97,14.96,14.6,14.09,12.56,11.59,BALKRISIND
Public +,15.21,15.13,14.59,12.53,11.97,10.94,11.21,11.2,12.71,12.44,13.73,15.05,BALKRISIND
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,74.98,75.0,75.0,74.99,74.99,74.99,74.99,74.98,74.98,74.98,74.99,74.99,BERGEPAINT
FIIs +,5.55,5.54,6.16,7.96,7.78,11.72,11.38,11.53,11.24,11.25,11.22,11.3,BERGEPAINT
DIIs +,8.26,8.05,7.28,6.81,6.83,3.02,3.72,3.69,4.02,4.07,3.91,3.57,BERGEPAINT
Public +,11.21,11.41,11.56,10.24,10.4,10.27,9.91,9.8,9.75,9.69,9.88,10.14,BERGEPAINT
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,67.14,62.71,62.7,62.7,58.98,56.23,56.23,56.23,55.86,55.86,55.86,55.93,BHARTIARTL
FIIs +,17.61,22.05,22.33,16.4,20.29,20.15,17.57,17.75,18.57,18.12,19.87,19.37,BHARTIARTL
DIIs +,13.25,13.14,13.2,14.14,15.83,18.37,21.72,21.78,20.35,20.64,19.15,19.48,BHARTIARTL
Public +,2.0,2.07,1.74,6.71,4.87,5.21,4.45,4.18,5.16,5.32,5.08,5.16,BHARTIARTL
Others +,0.0,0.03,0.03,0.05,0.04,0.04,0.03,0.06,0.06,0.06,0.05,0.05,BHARTIARTL
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,50.66,50.66,50.66,50.63,50.63,50.61,50.58,50.55,50.55,50.55,50.55,50.55,BRITANNIA
FIIs +,15.75,15.7,15.22,15.79,14.71,14.67,16.04,17.67,17.96,18.4,17.65,17.59,BRITANNIA
DIIs +,12.37,13.11,13.57,13.56,13.38,12.66,11.46,10.65,11.23,11.18,11.53,11.53,BRITANNIA
Public +,21.22,20.53,20.55,20.02,21.28,22.06,21.92,21.14,20.26,19.87,20.28,20.34,BRITANNIA
Unnamed: 0,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,30.98,30.98,30.98,30.96,30.96,23.75,CAMS
FIIs +,8.67,22.14,23.99,25.11,26.49,30.43,CAMS
DIIs +,32.17,26.26,24.03,21.82,15.15,13.25,CAMS
Public +,28.17,20.61,21.0,22.11,27.4,32.57,CAMS
Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Debtor Days,17,18,21,17,16,16,35,27,27,21,28,14,CDSL
Inventory Days,,,,,,,,,,,,,CDSL
Days Payable,,,,,,,,,,,,,CDSL
Cash Conversion Cycle,17,18,21,17,16,16,35,27,27,21,28,14,CDSL
Working Capital Days,-97,-44,-104,-216,-280,-323,-130,-103,-125,-125,-137,-149,CDSL
ROCE %,31%,28%,22%,13%,11%,12%,21%,21%,22%,21%,17%,33%,CDSL
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,67.9,67.88,67.88,67.88,67.88,67.87,67.87,67.87,67.38,67.36,67.36,67.37,DABUR
FIIs +,18.21,17.76,17.64,17.48,17.43,17.63,18.08,18.52,19.77,20.59,21.35,21.11,DABUR
DIIs +,6.67,7.03,7.74,7.71,7.61,7.42,6.9,5.93,5.34,4.66,3.41,3.59,DABUR
Public +,7.23,7.34,6.74,6.93,7.07,7.08,7.15,7.67,7.51,7.38,7.87,7.93,DABUR
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,44.85,44.85,45.64,45.64,45.69,45.69,45.69,45.69,45.69,45.69,45.69,45.69,DEEPAKNTR
FIIs +,10.28,10.73,9.4,10.16,10.96,11.48,12.74,13.26,11.87,11.43,10.85,8.84,DEEPAKNTR
DIIs +,15.53,16.32,16.45,16.01,16.19,13.54,12.0,10.51,11.64,10.41,10.61,10.74,DEEPAKNTR
Public +,29.34,28.1,28.5,28.19,27.16,29.28,29.56,30.53,30.8,32.47,32.85,34.73,DEEPAKNTR
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,52.01,52.01,52.01,52.0,51.97,51.97,51.96,51.95,51.95,51.95,51.95,51.95,DIVISLAB
FIIs +,21.21,20.95,19.61,19.7,19.08,18.17,18.28,20.37,19.87,20.6,20.7,19.3,DIVISLAB
DIIs +,14.22,14.87,15.46,15.47,15.59,16.8,18.8,16.86,16.74,16.56,16.36,17.73,DIVISLAB
Public +,12.56,12.17,12.92,12.83,13.35,13.07,10.96,10.83,11.45,10.89,11.0,11.02,DIVISLAB
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,38.93,38.92,38.89,37.92,36.17,36.11,36.01,35.06,35.04,35.03,34.93,34.52,DIXON
FIIs +,6.04,7.23,7.67,10.85,10.76,12.27,16.21,20.31,19.84,19.85,18.41,18.51,DIXON
DIIs +,23.76,22.38,22.09,20.73,22.95,21.94,17.55,15.23,11.02,9.48,8.74,7.6,DIXON
Public +,31.27,31.47,31.35,30.5,30.12,29.68,30.23,29.4,34.1,35.64,37.92,39.37,DIXON
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,81.2,81.2,80.21,79.73,74.99,74.99,74.99,74.99,74.99,74.99,74.99,74.99,DMART
FIIs +,5.91,5.47,6.03,6.21,9.62,10.42,10.27,10.09,10.17,10.04,9.95,9.44,DMART
DIIs +,3.2,3.57,4.8,4.72,6.56,5.98,6.11,6.71,6.58,6.71,6.78,6.74,DMART
Public +,9.68,9.75,8.96,9.34,8.83,8.61,8.63,8.21,8.26,8.26,8.29,8.83,DMART
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,26.77,26.76,26.76,26.76,26.75,26.74,26.74,26.73,26.74,26.73,26.72,26.72,DRREDDY
FIIs +,30.93,30.73,30.05,30.04,30.15,29.33,29.58,29.13,29.03,29.04,27.76,27.42,DRREDDY
DIIs +,14.53,13.77,14.99,15.1,14.35,14.64,13.92,14.73,14.9,15.74,21.4,22.29,DRREDDY
Public +,27.64,28.5,27.97,27.87,28.51,29.06,29.53,29.19,28.99,28.17,23.83,23.29,DRREDDY
Others +,0.13,0.24,0.24,0.24,0.24,0.22,0.23,0.22,0.35,0.32,0.29,0.28,DRREDDY
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,49.32,49.31,49.31,49.28,49.28,49.28,49.25,49.24,49.23,49.22,49.22,49.22,EICHERMOT
FIIs +,32.49,33.15,31.86,31.19,27.71,26.95,28.16,28.89,29.06,28.83,30.28,29.45,EICHERMOT
DIIs +,4.55,4.69,7.22,8.21,11.12,11.94,9.94,9.35,9.08,9.5,8.65,9.73,EICHERMOT
Government +,0.11,0.11,0.11,0.11,0.15,0.15,0.15,0.15,0.15,0.1,0.1,0.1,EICHERMOT
Public +,13.53,12.74,11.5,11.21,11.75,11.68,12.5,12.37,12.49,12.36,11.76,11.5,EICHERMOT
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,59.55,59.52,59.52,59.52,59.52,59.5,59.5,59.5,59.5,59.47,59.47,59.47,HAVELLS
FIIs +,27.28,26.95,26.29,25.88,23.04,21.95,22.22,24.36,24.91,24.01,26.76,26.51,HAVELLS
DIIs +,4.3,4.64,5.82,5.89,8.27,9.64,9.86,8.36,7.89,8.17,6.12,6.26,HAVELLS
Government +,0.16,0.14,0.13,0.18,0.23,0.23,0.23,0.23,0.19,0.12,0.11,0.1,HAVELLS
Public +,8.71,8.69,8.24,8.53,8.94,8.68,8.18,7.55,7.51,8.17,7.54,7.66,HAVELLS
Others +,0.01,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.01,HAVELLS
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,60.0,60.0,60.0,59.98,60.33,60.33,60.33,60.33,60.33,60.33,60.33,60.33,HCLTECH
FIIs +,28.74,28.63,27.96,27.66,26.42,25.62,24.92,24.92,24.14,23.22,22.3,20.43,HCLTECH
DIIs +,7.67,7.98,8.63,8.42,9.11,10.01,10.62,10.25,10.54,11.34,12.47,13.74,HCLTECH
Government +,0.01,0.01,0.01,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,HCLTECH
Public +,3.58,3.38,3.4,3.9,4.1,4.0,4.09,4.46,4.97,5.09,4.88,5.28,HCLTECH
Others +,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,HCLTECH
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
FIIs +,72.44,74.69,72.52,72.75,70.88,70.17,70.0,71.95,72.78,72.22,71.95,72.14,HDFC
DIIs +,16.46,14.63,16.47,16.47,17.84,18.29,18.45,17.12,16.13,16.47,16.85,16.59,HDFC
Government +,0.21,0.13,0.15,0.18,0.2,0.22,0.22,0.22,0.22,0.14,0.14,0.14,HDFC
Public +,10.89,10.55,10.87,10.6,11.08,11.32,11.33,10.72,10.88,11.18,11.06,11.13,HDFC
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,82.72,82.71,82.7,79.67,79.61,73.95,73.93,73.92,73.92,73.88,68.85,68.84,HDFCAMC
FIIs +,4.17,4.73,5.78,8.14,8.0,10.7,8.79,9.11,9.37,9.14,8.95,10.54,HDFCAMC
DIIs +,2.21,2.27,1.68,0.91,1.4,3.2,1.74,5.63,5.95,6.57,7.58,9.44,HDFCAMC
Public +,10.9,10.29,9.84,11.27,10.99,12.14,15.53,11.34,10.76,10.41,14.62,11.19,HDFCAMC
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,26.5,26.25,26.21,26.18,26.14,26.1,26.02,26.0,25.97,25.89,25.83,25.8,HDFCBANK
FIIs +,38.71,38.64,37.64,37.92,36.68,37.04,37.43,39.35,39.79,39.39,38.23,37.47,HDFCBANK
DIIs +,16.41,16.86,21.05,20.86,21.74,21.85,22.66,21.47,20.99,21.46,22.53,22.97,HDFCBANK
Government +,0.2,0.21,0.21,0.21,0.23,0.25,0.24,0.24,0.24,0.16,0.16,0.16,HDFCBANK
Public +,18.19,18.05,14.89,14.83,15.21,14.76,13.65,12.95,13.01,13.1,13.25,13.6,HDFCBANK
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,76.14,74.49,71.16,66.18,63.69,60.41,60.4,58.87,58.86,53.84,53.81,53.77,HDFCLIFE
FIIs +,10.52,11.75,15.94,19.94,21.07,23.55,23.44,24.85,25.67,26.06,30.12,30.45,HDFCLIFE
DIIs +,3.4,4.89,4.4,4.96,6.08,7.29,7.28,7.09,6.25,5.87,6.67,6.08,HDFCLIFE
Public +,9.92,8.84,8.47,8.89,9.13,8.72,8.85,9.16,9.2,14.21,9.38,9.68,HDFCLIFE
Others +,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,HDFCLIFE
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,34.63,34.63,34.63,34.63,34.63,34.77,34.76,34.76,34.76,34.76,34.76,34.75,HEROMOTOCO
FIIs +,38.19,35.2,36.48,35.29,34.27,32.71,33.29,35.89,37.19,34.97,32.28,29.57,HEROMOTOCO
DIIs +,16.08,18.6,19.16,19.56,19.89,21.72,22.85,19.98,18.68,20.23,21.97,23.69,HEROMOTOCO
Public +,11.1,11.57,9.73,10.52,11.21,10.8,9.1,9.37,9.37,10.05,11.0,11.99,HEROMOTOCO
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,67.19,67.18,67.18,67.18,67.18,61.9,61.9,61.9,61.9,61.9,61.9,61.9,HINDUNILVR
FIIs +,11.83,12.06,12.4,12.32,12.1,14.81,14.54,14.92,14.95,15.11,15.45,14.71,HINDUNILVR
DIIs +,7.03,6.93,6.67,6.68,6.67,8.34,10.82,10.72,10.68,10.75,10.48,10.85,HINDUNILVR
Public +,13.95,13.82,13.74,13.82,14.05,14.95,12.74,12.46,12.47,12.24,12.17,12.53,HINDUNILVR
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,61.87,61.87,61.87,61.87,62.62,62.62,62.62,62.62,62.62,62.62,62.62,62.62,HNDFDS
FIIs +,9.94,10.0,10.08,10.19,6.62,6.56,6.62,6.63,6.59,6.58,6.57,6.5,HNDFDS
DIIs +,1.95,5.04,5.46,5.46,7.4,7.41,7.61,7.56,7.34,6.96,6.94,6.92,HNDFDS
Public +,26.25,23.09,22.59,22.49,23.36,23.41,23.14,23.18,23.44,23.84,23.86,23.95,HNDFDS
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
FIIs +,43.05,43.23,40.82,45.82,43.73,42.99,45.69,47.46,47.81,48.03,47.31,45.3,ICICIBANK
DIIs +,45.41,45.34,47.69,43.13,44.58,45.73,43.7,42.46,41.7,41.7,42.49,43.75,ICICIBANK
Government +,0.33,0.4,0.39,0.39,0.39,0.42,0.41,0.42,0.43,0.25,0.25,0.24,ICICIBANK
Public +,11.21,11.03,11.1,10.66,11.31,10.87,10.2,9.66,10.06,10.02,9.95,10.7,ICICIBANK
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,55.87,55.86,55.86,55.86,55.86,51.89,51.89,51.89,51.88,51.87,48.08,48.05,ICICIGI
FIIs +,13.24,18.53,20.84,24.0,23.39,26.61,27.1,28.41,29.08,29.75,27.73,28.12,ICICIGI
DIIs +,7.95,5.98,10.85,12.53,13.18,14.03,13.59,12.52,11.96,11.69,10.54,13.47,ICICIGI
Public +,22.94,19.63,12.45,7.61,7.57,7.47,7.42,7.18,7.08,6.69,13.65,10.36,ICICIGI
Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,74.98,74.98,74.98,74.98,74.98,73.48,73.48,73.48,73.48,73.45,73.42,73.41,ICICIPRULI
FIIs +,10.08,11.48,12.12,13.3,13.34,15.06,15.78,16.28,16.51,17.17,17.17,16.92,ICICIPRULI
