Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,38.37,38.37,38.37,42.39,42.39,42.39,42.39,42.39,46.41,46.41,46.41,46.4,TATAMOTORS
FIIs +,19.14,19.51,18.95,18.32,16.84,15.62,15.84,15.61,13.78,14.28,13.35,14.57,TATAMOTORS
DIIs +,16.1,15.83,15.5,14.89,13.42,13.22,13.06,12.56,11.91,11.47,13.3,13.64,TATAMOTORS
Government +,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.15,0.15,0.14,TATAMOTORS
Public +,26.22,26.12,27.01,24.24,27.19,28.6,28.55,29.27,27.75,27.69,26.8,25.24,TATAMOTORS
