Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,52.91,52.91,52.91,52.91,52.91,52.91,52.9,52.9,52.9,52.9,52.9,52.9,TITAN
FIIs +,19.24,19.64,18.77,18.31,17.74,17.55,18.05,18.59,18.1,18.41,19.06,18.56,TITAN
DIIs +,7.21,6.69,8.66,9.1,10.87,10.81,10.97,10.86,11.13,9.87,10.1,10.29,TITAN
Government +,0.17,0.17,0.17,0.18,0.23,0.36,0.35,0.35,0.35,0.21,0.16,0.16,TITAN
Public +,20.47,20.6,19.5,19.5,18.26,18.38,17.73,17.3,17.53,18.61,17.78,18.09,TITAN
