Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,70.64,70.64,70.64,70.64,70.64,70.64,70.64,70.64,70.64,70.64,70.64,70.64,PGHH
FIIs +,3.41,3.38,3.36,3.32,2.79,2.57,2.45,2.46,2.52,2.53,2.57,2.63,PGHH
DIIs +,10.79,11.13,12.1,12.17,12.87,13.14,13.51,13.53,13.5,13.57,13.48,13.48,PGHH
Government +,0.03,0.03,0.03,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,PGHH
Public +,15.14,14.82,13.87,13.84,13.68,13.62,13.4,13.38,13.34,13.27,13.31,13.26,PGHH
