Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,57.92,57.88,57.88,57.68,57.63,57.64,57.63,57.64,57.63,57.62,57.62,57.6,SBIN
FIIs +,9.87,10.85,10.83,10.98,9.59,7.91,7.75,9.82,9.94,10.34,10.55,10.37,SBIN
DIIs +,24.48,23.77,24.35,24.51,24.55,24.7,25.29,24.88,24.4,24.19,24.17,24.1,SBIN
Government +,0.05,0.05,0.05,0.05,0.11,0.2,0.2,0.2,0.2,0.15,0.15,0.15,SBIN
Public +,7.68,7.45,6.89,6.78,8.12,9.55,9.13,7.46,7.83,7.7,7.51,7.78,SBIN
