Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,30.3,VOLTAS
FIIs +,13.67,12.99,10.19,10.91,9.87,10.71,12.44,14.55,14.38,17.24,22.31,24.42,VOLTAS
DIIs +,34.69,35.89,39.05,38.18,39.63,38.88,38.94,37.36,37.22,33.87,31.61,29.76,VOLTAS
Government +,0.42,0.41,0.41,0.41,0.41,0.46,0.29,0.24,0.24,0.24,0.24,0.21,VOLTAS
Public +,20.92,20.41,20.06,20.2,19.79,19.65,18.03,17.54,17.86,18.34,15.53,15.32,VOLTAS
