Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,34.45,34.45,34.45,34.45,34.69,34.69,34.7,34.71,34.71,34.71,34.71,34.72,TATACONSUM
FIIs +,25.37,26.61,27.8,26.04,17.08,19.49,21.65,25.68,25.24,25.02,25.93,25.67,TATACONSUM
DIIs +,13.67,13.12,12.83,14.89,21.8,19.83,17.69,13.62,12.55,13.99,13.3,13.41,TATACONSUM
Government +,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,TATACONSUM
Public +,26.5,25.81,24.91,24.62,26.42,25.97,25.95,25.97,27.48,26.27,26.04,26.2,TATACONSUM
