Unnamed: 0,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Stockname
Promoters +,30.63,30.63,30.63,31.08,34.59,34.59,35.47,37.98,37.98,37.98,37.98,37.98,TATACHEM
FIIs +,10.09,10.74,9.39,9.8,9.3,11.23,9.06,12.28,14.03,13.02,14.45,13.96,TATACHEM
DIIs +,37.85,37.64,38.88,38.32,34.17,31.96,29.16,24.63,20.77,19.66,20.02,18.32,TATACHEM
Government +,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,TATACHEM
Public +,21.4,20.97,21.08,20.77,21.92,22.2,26.29,25.08,27.19,29.31,27.53,29.71,TATACHEM
