Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,87,16,101,103,217,181,366,337,314,385,661,728,PIIND
Cash from Investing Activity +,-36,-91,-105,-145,-51,-146,-298,-236,-182,-320,-962,-2428,PIIND
Cash from Financing Activity +,-50,78,4,42,-142,-50,-48,-50,-100,-122,350,1689,PIIND
Net Cash Flow,1,3,0,0,24,-16,20,50,32,-56,49,-11,PIIND
