Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,-9733,-17212,-23755,-19840,-21469,-25469,-27405,-36119,-55904,-41166,-43817,-28473,HDFC
Cash from Investing Activity +,112,-527,180,-867,152,199,853,-1398,-3587,-9952,-5854,-8500,HDFC
Cash from Financing Activity +,13149,18644,22695,21531,23628,22392,26301,39088,56506,50246,52452,34601,HDFC
Net Cash Flow,3529,905,-880,825,2311,-2878,-250,1571,-2985,-871,2781,-2372,HDFC
