Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,20490,33280,26974,32995,42160,35285,43447,51450,62000,29191,77533,-512,RELIANCE
Cash from Investing Activity +,-18204,-20333,-3046,-14797,-64013,-55998,-41223,-54949,-59109,-53949,-143583,74257,RELIANCE
Cash from Financing Activity +,-11000,725,-11465,-8249,5530,-940,-6903,-1639,-1914,25795,70767,-76657,RELIANCE
Net Cash Flow,-8714,13672,12463,9949,-16323,-21653,-4679,-5138,977,1037,4717,-2912,RELIANCE
