Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,1253,246,1403,289,906,1786,2747,1016,1539,2762,1839,3514,DRREDDY
Cash from Investing Activity +,-1117,-609,-425,-524,-874,-2031,-1919,1430,-1180,-546,-1689,-1454,DRREDDY
Cash from Financing Activity +,-152,61,-195,152,28,189,-693,-2582,-304,-2223,-224,-794,DRREDDY
Net Cash Flow,-16,-302,783,-84,60,-56,135,-135,54,-8,-74,1266,DRREDDY
