Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,43,24,36,22,46,61,101,63,102,144,188,364,ALKYLAMINE
Cash from Investing Activity +,-10,-18,-19,-27,-26,-31,-35,-65,-132,-67,-41,-213,ALKYLAMINE
Cash from Financing Activity +,-35,-9,-13,5,-13,-36,-68,-2,32,-60,-135,-86,ALKYLAMINE
Net Cash Flow,-2,-2,4,0,7,-6,-2,-3,2,17,12,65,ALKYLAMINE
