Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,1869,-6909,-14332,11102,4669,-4824,22428,39223,13304,38419,78449,124093,ICICIBANK
Cash from Investing Activity +,5655,-981,-12280,-8904,-11395,-9406,-4279,7000,-38966,-24041,-36945,-54186,ICICIBANK
Cash from Financing Activity +,1383,3106,28752,2990,6838,15006,-585,-30379,34118,-18251,-2645,-55935,ICICIBANK
Net Cash Flow,8907,-4784,2139,5188,112,775,17564,15844,8456,-3873,38859,13973,ICICIBANK
