Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,48,110,126,100,136,139,110,228,307,296,302,285,NAUKRI
Cash from Investing Activity +,-90,-182,-103,-102,-100,-843,-35,-184,-204,-223,197,-1883,NAUKRI
Cash from Financing Activity +,-2,-2,-5,-12,-25,716,-66,-42,-76,-78,-142,1806,NAUKRI
Net Cash Flow,-44,-74,18,-15,10,12,9,3,27,-6,357,208,NAUKRI
