Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,4642,5333,6016,6710,6962,9309,9212,10002,12651,11749,13806,11494,ITC
Cash from Investing Activity +,-3542,-685,-2544,-3581,-2823,-4820,-3711,-2780,-6691,-5082,-5517,6555,ITC
Cash from Financing Activity +,-1010,-3552,-3247,-3233,-4174,-4574,-5465,-7138,-6020,-6601,-7891,-18379,ITC
Net Cash Flow,89,1096,225,-103,-35,-85,36,84,-60,67,399,-330,ITC
