Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,173,938,1028,984,595,-98,511,1628,2390,2976,3433,1774,ICICIGI
Cash from Investing Activity +,-65,-873,-1205,-962,-706,171,-310,-1990,-1896,-2856,-3382,-1367,ICICIGI
Cash from Financing Activity +,-71,275,4,102,4,-93,-148,361,-96,-310,-420,-212,ICICIGI
Net Cash Flow,37,340,-174,124,-108,-20,53,-1,398,-190,-369,195,ICICIGI
