Unnamed: 0,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,,207,221,283,352,1224,234,1161,POLYCAB
Cash from Investing Activity +,,-176,-251,-269,-178,-396,-257,-1038,POLYCAB
Cash from Financing Activity +,,-37,41,-19,-189,-657,16,-96,POLYCAB
Net Cash Flow,,-6,10,-5,-15,171,-8,27,POLYCAB
