Unnamed: 0,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,61,70,,84,102,188,144,180,237,CAMS
Cash from Investing Activity +,-4,-36,,-47,-30,-74,-15,-72,25,CAMS
Cash from Financing Activity +,-51,-32,,-41,-72,-109,-132,-91,-268,CAMS
Net Cash Flow,5,1,,-4,0,5,-3,17,-6,CAMS
