Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,86,44,82,85,60,107,124,175,140,223,431,156,MINDAIND
Cash from Investing Activity +,-83,-32,-19,-69,-63,-45,-101,-217,-307,-540,-390,-259,MINDAIND
Cash from Financing Activity +,6,-2,-38,-31,-19,-59,-27,340,-133,305,33,51,MINDAIND
Net Cash Flow,9,10,25,-16,-22,4,-3,298,-300,-12,74,-51,MINDAIND
