Unnamed: 0,Mar 2011,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,0,23,2,22,72,56,52,ROSSARI
Cash from Investing Activity +,0,-5,-6,-16,-41,-187,-37,ROSSARI
Cash from Financing Activity +,0,-18,3,-6,-26,155,-29,ROSSARI
Net Cash Flow,0,1,0,-1,5,23,-14,ROSSARI
