Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,430,298,371,511,398,573,907,809,799,853,1228,1201,PIDILITIND
Cash from Investing Activity +,-337,-36,-243,-191,-140,-445,-469,-791,24,-488,133,-1679,PIDILITIND
Cash from Financing Activity +,-187,-222,-138,-330,-221,-173,-409,-37,-803,-371,-858,19,PIDILITIND
Net Cash Flow,-94,39,-10,-10,37,-44,29,-19,19,-6,504,-459,PIDILITIND
