Unnamed: 0,Jun 2010,Jun 2011,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,146,170,352,405,326,601,296,464,505,557,539,1246,SUPREMEIND
Cash from Investing Activity +,-68,-240,-64,-363,-134,-186,-218,-202,-267,-240,-196,-199,SUPREMEIND
Cash from Financing Activity +,-70,66,-287,-32,-188,-260,-234,-210,-284,-316,-156,-506,SUPREMEIND
Net Cash Flow,8,-4,0,10,5,155,-155,52,-46,1,188,541,SUPREMEIND
