Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,848,743,881,1081,1371,1144,1980,1420,2136,2395,2813,3460,ASIANPAINT
Cash from Investing Activity +,-242,-410,-592,-440,-618,-292,-863,-584,-1371,-833,-775,-437,ASIANPAINT
Cash from Financing Activity +,-239,-320,-297,-591,-560,-728,-704,-956,-1239,-1089,-2501,-583,ASIANPAINT
Net Cash Flow,367,13,-8,51,194,124,413,-120,-474,473,-462,2440,ASIANPAINT
