Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,199,342,357,381,653,600,525,778,1108,513,825,658,HAVELLS
Cash from Investing Activity +,-299,-339,-186,-136,-383,-608,-77,-227,-1003,185,-548,-763,HAVELLS
Cash from Financing Activity +,13,-22,-85,-136,-115,-269,-498,-72,-358,-318,-716,190,HAVELLS
Net Cash Flow,-88,-19,87,110,154,-276,-50,478,-254,380,-439,84,HAVELLS
