Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,196,59,74,550,594,979,1095,842,753,813,1164,1363,BALKRISIND
Cash from Investing Activity +,-181,-158,-677,-959,-1241,-428,-569,-534,-92,-621,-656,-1158,BALKRISIND
Cash from Financing Activity +,-23,105,950,318,390,-130,-656,-616,-655,-173,-521,-194,BALKRISIND
Net Cash Flow,-7,7,346,-91,-257,421,-129,-308,6,19,-13,11,BALKRISIND
