Unnamed: 0,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,-398,-879,-1158,-2235,-2891,-2327,-4063,692,SBICARD
Cash from Investing Activity +,1,1,1,-1,128,-76,-77,-997,SBICARD
Cash from Financing Activity +,475,1008,1141,2244,2953,2824,3923,432,SBICARD
Net Cash Flow,78,130,-17,9,190,422,-218,127,SBICARD
