Unnamed: 0,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,,,,,,,,14,42,56,9,MTARTECH
Cash from Investing Activity +,,,,,,,,-1,-33,-12,-22,MTARTECH
Cash from Financing Activity +,,,,,,,,-14,-7,-41,180,MTARTECH
Net Cash Flow,,,,,,,,-1,2,3,167,MTARTECH
