Unnamed: 0,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,52,43,75,77,74,56,156,202,METROPOLIS
Cash from Investing Activity +,-39,-36,101,-67,19,-4,-51,74,METROPOLIS
Cash from Financing Activity +,-10,-10,-165,-17,-82,-64,-46,-26,METROPOLIS
Net Cash Flow,3,-3,11,-6,12,-12,59,250,METROPOLIS
