Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,1353,1632,651,438,2700,1688,2947,2121,2767,1683,2309,2328,TATAPOWER
Cash from Investing Activity +,-1872,-2584,-1988,-1494,-2343,-1625,-1627,-5582,-1355,-557,-471,-5506,TATAPOWER
Cash from Financing Activity +,1793,477,1163,797,-703,148,-1701,3718,-1605,-996,-1753,3137,TATAPOWER
Net Cash Flow,1273,-476,-174,-260,-346,211,-381,257,-192,131,85,-41,TATAPOWER
