Unnamed: 0,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,,,,-2,4,PARAS
Cash from Investing Activity +,,,,-5,-6,PARAS
Cash from Financing Activity +,,,,8,5,PARAS
Net Cash Flow,,,,1,3,PARAS
