Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,9390,-376,-17095,-1869,8364,-15862,-30132,23585,26074,-56055,-16690,41495,HDFCBANK
Cash from Investing Activity +,-553,-1126,-662,-855,-1623,-1933,-627,-1985,-523,-1231,-891,-1262,HDFCBANK
Cash from Financing Activity +,3599,1228,9026,9066,5563,14543,33347,-11568,48411,15718,22852,-7381,HDFCBANK
Net Cash Flow,12436,-274,-8731,6342,12303,-3252,2587,10033,73963,-41567,5271,32852,HDFCBANK
