Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,1090,591,1147,728,556,1777,1683,2155,5643,-362,941,21,ASHOKLEY
Cash from Investing Activity +,-783,-918,-1054,-1165,-111,103,364,-1477,-3429,2312,-2176,-976,ASHOKLEY
Cash from Financing Activity +,123,-14,-241,417,-449,-1179,-1211,-1372,-2091,-1616,1149,206,ASHOKLEY
Net Cash Flow,430,-340,-148,-20,-3,700,836,-694,123,334,-86,-749,ASHOKLEY
