Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,5787,4275,5921,6942,9148,7955,9578,10478,12475,13989,15572,19902,INFY
Cash from Investing Activity +,-3298,3235,769,-2779,-2272,628,-1216,-13533,5678,-637,-170,-6286,INFY
Cash from Financing Activity +,-1481,-3642,-2298,-3319,-3177,-4961,-6908,-6968,-20536,-14571,-17391,-9566,INFY
Net Cash Flow,1008,3868,4392,844,3699,3622,1454,-10023,-2383,-1219,-1989,4050,INFY
