Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,169,195,306,333,303,389,626,632,539,907,1096,915,APOLLOHOSP
Cash from Investing Activity +,-188,-398,-446,-631,-310,-681,-910,-804,-378,-776,-264,-781,APOLLOHOSP
Cash from Financing Activity +,240,59,185,367,-40,332,290,130,-106,-160,-771,-175,APOLLOHOSP
Net Cash Flow,221,-144,46,69,-47,40,7,-42,54,-28,62,-41,APOLLOHOSP
