Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,2336,2980,2735,4146,3728,3219,5470,3971,7027,4924,3678,9120,M&M
Cash from Investing Activity +,-1364,-3733,-1804,-2896,-2362,-2423,-3538,-3221,-5110,-2549,-2576,-14564,M&M
Cash from Financing Activity +,-784,-384,-306,-1222,-824,-1585,-2007,-1056,-1033,-1555,-1015,3860,M&M
Net Cash Flow,189,-1137,625,28,542,-788,-75,-305,884,820,86,-1584,M&M
