Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,33,16,137,-62,148,50,132,507,199,97,745,1064,TATACONSUM
Cash from Investing Activity +,371,170,181,107,147,129,218,60,143,346,-708,-332,TATACONSUM
Cash from Financing Activity +,-444,-184,-308,-42,-308,-166,-154,-612,-135,-247,-198,-331,TATACONSUM
Net Cash Flow,-40,2,10,3,-13,13,195,-45,207,196,-161,402,TATACONSUM
