Unnamed: 0,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,,,,,135,122,LXCHEM
Cash from Investing Activity +,,,,,-3,-602,LXCHEM
Cash from Financing Activity +,,,,,-115,485,LXCHEM
Net Cash Flow,,,,,17,5,LXCHEM
