Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,72,44,73,54,125,107,159,180,154,123,319,513,RELAXO
Cash from Investing Activity +,-85,-63,-47,-82,-70,-130,-130,-89,-108,-56,-116,-453,RELAXO
Cash from Financing Activity +,11,20,-27,29,-51,21,-31,-89,-46,-68,-203,-56,RELAXO
Net Cash Flow,-2,1,-1,1,4,-1,-2,1,0,-1,1,4,RELAXO
