Unnamed: 0,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,4130,5598,,,4461,5690,6239,6741,9871,7370,9703,HDFCLIFE
Cash from Investing Activity +,-3214,-5282,,,-3516,-4045,-5106,-4423,-10186,-7782,-8995,HDFCLIFE
Cash from Financing Activity +,192,0,,,-168,-212,-236,-196,-337,38,678,HDFCLIFE
Net Cash Flow,1109,316,,,777,1433,897,2122,-652,-374,1386,HDFCLIFE
