Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,117,75,416,380,747,544,533,1000,476,653,1209,499,TRIDENT
Cash from Investing Activity +,-154,-172,-615,-100,-174,-114,-1199,-168,-188,-42,-34,-149,TRIDENT
Cash from Financing Activity +,43,77,211,-285,-574,-432,667,-808,-268,-650,-867,-570,TRIDENT
Net Cash Flow,6,-20,12,-5,-1,-2,1,23,20,-38,309,-220,TRIDENT
