Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,173,196,363,444,256,552,629,471,409,785,970,1682,MARICO
Cash from Investing Activity +,-198,-318,-277,-953,109,60,-86,87,187,-79,128,-641,MARICO
Cash from Financing Activity +,14,128,-94,521,-369,-612,-549,-560,-602,-704,-1081,-1052,MARICO
Net Cash Flow,-12,7,-8,13,-3,-1,-6,-2,-6,2,17,-11,MARICO
