Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,4,112,76,141,-7,121,305,437,-103,-602,627,660,BAJAJELEC
Cash from Investing Activity +,-38,-29,-68,0,-76,-83,-53,-90,36,-127,-46,-110,BAJAJELEC
Cash from Financing Activity +,42,-99,-2,-144,87,-56,-239,-368,64,718,-491,-605,BAJAJELEC
Net Cash Flow,7,-15,6,-4,4,-19,13,-22,-3,-11,90,-56,BAJAJELEC
