Unnamed: 0,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Stockname
Cash from Operating Activity +,1412,471,665,642,1294,2108,2876,3332,3273,3634,2380,6852,TECHM
Cash from Investing Activity +,-2571,-132,-401,-595,352,-1637,-1082,-2590,-2146,-1529,3306,-5602,TECHM
Cash from Financing Activity +,804,-287,-322,89,-917,-770,-792,-1479,-1210,-2036,-4842,-2066,TECHM
Net Cash Flow,-355,52,-57,136,729,-299,1002,-736,-82,69,844,-816,TECHM
