Date,P/E,P/B,Div Yield
3-Jan-11,24.57,3.88,1.01
4-Jan-11,24.53,3.87,1.01
5-Jan-11,24.26,3.83,1.03
6-Jan-11,24.14,3.81,1.03
7-Jan-11,23.56,3.72,1.06
10-Jan-11,23.01,3.63,1.08
11-Jan-11,22.98,3.63,1.08
12-Jan-11,23.41,3.7,1.06
13-Jan-11,22.92,3.63,1.08
14-Jan-11,22.5,3.57,1.1
17-Jan-11,22.5,3.57,1.1
18-Jan-11,22.66,3.61,1.09
19-Jan-11,22.51,3.59,1.09
20-Jan-11,22.59,3.6,1.09
21-Jan-11,22.41,3.59,1.09
24-Jan-11,22.26,3.62,1.08
25-Jan-11,21.96,3.59,1.1
27-Jan-11,21.64,3.53,1.11
28-Jan-11,21.23,3.48,1.13
31-Jan-11,21.06,3.47,1.13
1-Feb-11,20.7,3.42,1.15
2-Feb-11,20.8,3.43,1.15
3-Feb-11,21.16,3.49,1.13
4-Feb-11,20.67,3.4,1.15
7-Feb-11,20.69,3.41,1.15
8-Feb-11,20.35,3.35,1.17
9-Feb-11,20.12,3.32,1.19
10-Feb-11,20.01,3.3,1.19
11-Feb-11,20.34,3.35,1.17
14-Feb-11,20.86,3.45,1.14
15-Feb-11,20.96,3.47,1.13
16-Feb-11,20.95,3.47,1.13
17-Feb-11,21.19,3.51,1.12
18-Feb-11,20.86,3.46,1.14
21-Feb-11,21.09,3.49,1.13
22-Feb-11,20.9,3.46,1.14
23-Feb-11,20.82,3.44,1.14
24-Feb-11,20.15,3.33,1.18
25-Feb-11,20.31,3.36,1.17
28-Feb-11,20.42,3.38,1.17
1-Mar-11,21.14,3.5,1.13
3-Mar-11,21.2,3.51,1.12
4-Mar-11,21.21,3.51,1.12
7-Mar-11,20.92,3.46,1.14
8-Mar-11,21.14,3.5,1.13
9-Mar-11,21.18,3.5,1.12
10-Mar-11,21.04,3.48,1.13
11-Mar-11,20.85,3.45,1.14
14-Mar-11,21.18,3.5,1.12
15-Mar-11,20.87,3.45,1.14
16-Mar-11,21.1,3.49,1.13
17-Mar-11,20.86,3.45,1.14
18-Mar-11,20.58,3.4,1.16
21-Mar-11,20.54,3.4,1.16
22-Mar-11,20.73,3.43,1.15
23-Mar-11,20.99,3.47,1.13
24-Mar-11,21.15,3.5,1.13
25-Mar-11,21.46,3.59,1.1
28-Mar-11,21.59,3.61,1.1
29-Mar-11,21.77,3.64,1.09
30-Mar-11,21.97,3.67,1.08
31-Mar-11,22.14,3.7,1.07
1-Apr-11,22.11,3.7,1.07
4-Apr-11,22.43,3.75,1.06
5-Apr-11,22.43,3.75,1.06
6-Apr-11,22.36,3.74,1.06
7-Apr-11,22.34,3.73,1.06
8-Apr-11,22.18,3.71,1.07
11-Apr-11,21.96,3.67,1.08
13-Apr-11,22.43,3.75,1.06
15-Apr-11,22.02,3.69,1.07
18-Apr-11,21.66,3.63,1.09
19-Apr-11,21.65,3.64,1.09
20-Apr-11,22.06,3.71,1.07
21-Apr-11,22.18,3.73,1.06
25-Apr-11,21.94,3.73,1.06
26-Apr-11,21.91,3.72,1.06
27-Apr-11,21.79,3.7,1.07
28-Apr-11,21.61,3.67,1.08
29-Apr-11,21.36,3.65,1.09
2-May-11,21.19,3.62,1.09
3-May-11,20.68,3.53,1.12
4-May-11,20.58,3.51,1.13
5-May-11,20.32,3.43,1.23
6-May-11,20.67,3.49,1.21
9-May-11,20.66,3.49,1.21
10-May-11,20.61,3.48,1.22
11-May-11,20.71,3.5,1.21
12-May-11,20.4,3.45,1.23
13-May-11,20.6,3.48,1.22
16-May-11,20.39,3.45,1.23
17-May-11,20.16,3.41,1.24
18-May-11,20.18,3.4,1.25
19-May-11,20.2,3.41,1.24
20-May-11,20.34,3.44,1.23
23-May-11,19.93,3.38,1.25
24-May-11,19.9,3.38,1.25
25-May-11,19.72,3.36,1.26
26-May-11,19.95,3.4,1.25
27-May-11,20.26,3.44,1.23
30-May-11,20.25,3.39,1.24
31-May-11,20.53,3.45,1.22
1-Jun-11,20.65,3.47,1.22
2-Jun-11,20.49,3.44,1.23
3-Jun-11,20.37,3.42,1.23
6-Jun-11,20.43,3.43,1.23
7-Jun-11,20.52,3.44,1.22
8-Jun-11,20.41,3.43,1.28
9-Jun-11,20.39,3.42,1.28
10-Jun-11,20.26,3.4,1.29
13-Jun-11,20.25,3.4,1.29
14-Jun-11,20.31,3.41,1.29
15-Jun-11,20.12,3.38,1.3
16-Jun-11,19.93,3.35,1.31
17-Jun-11,19.82,3.33,1.32
20-Jun-11,19.42,3.26,1.35
21-Jun-11,19.48,3.27,1.34
22-Jun-11,19.46,3.27,1.34
23-Jun-11,19.61,3.3,1.33
24-Jun-11,20.17,3.39,1.3
