Date,P/E,P/B,Div Yield
2-Jan-06,17.16,4.37,1.56
3-Jan-06,17.45,4.44,1.54
4-Jan-06,17.58,4.48,1.53
5-Jan-06,17.55,4.47,1.53
6-Jan-06,17.64,4.49,1.52
9-Jan-06,17.62,4.49,1.52
10-Jan-06,17.37,4.43,1.54
12-Jan-06,17.28,4.4,1.55
13-Jan-06,17.25,4.4,1.55
16-Jan-06,17.14,4.37,1.56
17-Jan-06,17.12,4.36,1.57
18-Jan-06,16.53,4.24,1.61
19-Jan-06,16.87,4.33,1.58
20-Jan-06,16.91,4.38,1.56
23-Jan-06,16.83,4.35,1.57
24-Jan-06,16.86,4.39,1.56
25-Jan-06,17.02,4.44,1.54
27-Jan-06,17.42,4.5,1.52
30-Jan-06,17.91,4.49,1.52
31-Jan-06,17.9,4.53,1.51
1-Feb-06,17.73,4.49,1.52
2-Feb-06,17.7,4.48,1.53
3-Feb-06,17.54,4.44,1.54
6-Feb-06,17.9,4.53,1.51
7-Feb-06,18.02,4.56,1.5
8-Feb-06,17.95,4.54,1.5
10-Feb-06,18.03,4.57,1.49
13-Feb-06,18.11,4.59,1.49
14-Feb-06,17.93,4.56,1.5
15-Feb-06,17.96,4.56,1.5
16-Feb-06,17.95,4.56,1.5
17-Feb-06,17.71,4.5,1.52
20-Feb-06,17.86,4.54,1.51
21-Feb-06,18.03,4.58,1.49
22-Feb-06,18.13,4.61,1.48
23-Feb-06,18.19,4.62,1.48
24-Feb-06,18.12,4.61,1.48
27-Feb-06,18.22,4.63,1.48
28-Feb-06,18.27,4.64,1.47
1-Mar-06,18.56,4.72,1.45
2-Mar-06,18.73,4.76,1.44
3-Mar-06,18.71,4.75,1.44
6-Mar-06,18.96,4.82,1.42
7-Mar-06,18.92,4.81,1.42
8-Mar-06,18.53,4.71,1.45
9-Mar-06,18.6,4.73,1.45
10-Mar-06,18.93,4.81,1.42
13-Mar-06,19.04,4.84,1.41
14-Mar-06,19,4.83,1.42
16-Mar-06,19.18,4.87,1.4
17-Mar-06,19.25,4.89,1.4
20-Mar-06,19.44,4.94,1.38
21-Mar-06,19.42,4.93,1.38
22-Mar-06,19.28,4.9,1.39
23-Mar-06,19.33,4.91,1.39
24-Mar-06,19.52,4.96,1.38
27-Mar-06,19.77,5.02,1.36
28-Mar-06,19.79,5.03,1.36
29-Mar-06,19.97,5.07,1.35
30-Mar-06,20.35,5.17,1.32
31-Mar-06,20.26,5.15,1.33
3-Apr-06,20.68,5.26,1.3
4-Apr-06,20.74,5.27,1.3
