Date,P/E,P/B,Div Yield
1-Jan-14,18.69,2.99,1.49
2-Jan-14,18.46,2.95,1.5
3-Jan-14,18.43,2.95,1.51
6-Jan-14,18.37,2.94,1.51
7-Jan-14,18.28,2.92,1.52
8-Jan-14,18.32,2.93,1.52
9-Jan-14,18.3,2.93,1.52
10-Jan-14,18.24,2.93,1.52
13-Jan-14,18.55,2.98,1.49
14-Jan-14,18.44,2.96,1.5
15-Jan-14,18.68,3,1.48
16-Jan-14,18.63,3,1.48
17-Jan-14,18.45,2.97,1.5
20-Jan-14,18.35,2.99,1.49
21-Jan-14,18.38,2.99,1.48
22-Jan-14,18.45,3,1.48
23-Jan-14,18.49,3,1.48
24-Jan-14,18.25,2.97,1.49
27-Jan-14,17.85,2.9,1.53
28-Jan-14,17.82,2.9,1.53
29-Jan-14,17.79,2.9,1.53
30-Jan-14,17.65,2.87,1.54
31-Jan-14,17.7,2.88,1.54
3-Feb-14,17.34,2.84,1.56
4-Feb-14,17.35,2.84,1.56
5-Feb-14,17.41,2.85,1.56
6-Feb-14,17.16,2.86,1.55
7-Feb-14,17.25,2.87,1.54
10-Feb-14,17.24,2.87,1.55
11-Feb-14,17.26,2.87,1.54
12-Feb-14,17.32,2.88,1.54
13-Feb-14,17.09,2.84,1.56
14-Feb-14,17.22,2.87,1.55
17-Feb-14,17.28,2.87,1.54
18-Feb-14,17.59,2.9,1.53
19-Feb-14,17.59,2.91,1.52
20-Feb-14,17.42,2.88,1.54
21-Feb-14,17.33,2.91,1.52
24-Feb-14,17.42,2.93,1.51
25-Feb-14,17.46,2.93,1.51
26-Feb-14,17.57,2.95,1.5
28-Feb-14,17.67,2.97,1.49
3-Mar-14,17.52,2.94,1.5
4-Mar-14,17.73,2.98,1.49
5-Mar-14,17.82,2.99,1.48
6-Mar-14,18.02,3.03,1.46
7-Mar-14,18.38,3.09,1.43
10-Mar-14,18.41,3.09,1.43
11-Mar-14,18.34,3.08,1.44
12-Mar-14,18.35,3.08,1.44
13-Mar-14,18.28,3.07,1.44
14-Mar-14,18.31,3.08,1.44
18-Mar-14,18.35,3.08,1.44
19-Mar-14,18.38,3.09,1.43
20-Mar-14,18.26,3.07,1.44
21-Mar-14,18.29,3.07,1.44
22-Mar-14,18.29,3.07,1.44
24-Mar-14,18.54,3.12,1.42
25-Mar-14,18.56,3.12,1.42
26-Mar-14,18.59,3.12,1.42
27-Mar-14,18.71,3.14,1.41
28-Mar-14,18.84,3.23,1.37
31-Mar-14,18.86,3.23,1.37
1-Apr-14,18.91,3.24,1.37
2-Apr-14,19,3.26,1.36
