Date,P/E,P/B,Div Yield
1-Jan-03,14.92,2.41,2.38
2-Jan-03,14.82,2.39,2.4
3-Jan-03,14.78,2.38,2.4
6-Jan-03,14.71,2.37,2.42
7-Jan-03,14.67,2.37,2.42
8-Jan-03,14.77,2.38,2.41
9-Jan-03,14.88,2.4,2.39
10-Jan-03,14.65,2.36,2.43
13-Jan-03,14.56,2.35,2.44
14-Jan-03,14.63,2.36,2.43
15-Jan-03,14.72,2.37,2.41
16-Jan-03,14.76,2.38,2.41
17-Jan-03,14.74,2.38,2.41
20-Jan-03,14.6,2.35,2.43
21-Jan-03,14.62,2.36,2.43
22-Jan-03,14.69,2.37,2.42
23-Jan-03,14.52,2.34,2.45
24-Jan-03,14.32,2.31,2.48
27-Jan-03,14.07,2.27,2.52
28-Jan-03,14.19,2.29,2.5
29-Jan-03,14.07,2.27,2.53
30-Jan-03,14.03,2.26,2.53
31-Jan-03,14.13,2.28,2.51
3-Feb-03,14.31,2.31,2.48
4-Feb-03,14.31,2.31,2.48
5-Feb-03,14.21,2.29,2.5
6-Feb-03,14.42,2.33,2.46
7-Feb-03,14.34,2.31,2.48
10-Feb-03,14.22,2.29,2.5
11-Feb-03,14.21,2.29,2.5
12-Feb-03,14.17,2.28,2.51
14-Feb-03,14.05,2.27,2.53
17-Feb-03,14.35,2.31,2.48
18-Feb-03,14.37,2.32,2.47
19-Feb-03,14.43,2.33,2.46
20-Feb-03,14.45,2.33,2.46
21-Feb-03,14.46,2.33,2.46
24-Feb-03,14.51,2.34,2.45
25-Feb-03,14.32,2.31,2.48
26-Feb-03,14.24,2.3,2.5
27-Feb-03,14.28,2.3,2.49
28-Feb-03,14.42,2.33,2.46
3-Mar-03,14.36,2.32,2.47
4-Mar-03,14.24,2.3,2.5
5-Mar-03,14.16,2.28,2.51
6-Mar-03,14.03,2.26,2.53
7-Mar-03,13.84,2.23,2.57
10-Mar-03,13.7,2.21,2.59
11-Mar-03,13.81,2.23,2.57
12-Mar-03,13.63,2.2,2.61
13-Mar-03,13.6,2.19,2.61
17-Mar-03,13.51,2.18,2.63
19-Mar-03,13.71,2.2,2.85
20-Mar-03,14,2.25,2.79
21-Mar-03,14.08,2.26,2.78
22-Mar-03,14.17,2.28,2.76
24-Mar-03,13.85,2.23,2.83
25-Mar-03,13.81,2.22,2.83
26-Mar-03,13.85,2.23,2.83
27-Mar-03,13.69,2.2,2.86
28-Mar-03,13.67,2.2,2.86
31-Mar-03,13.36,2.15,2.93
1-Apr-03,13.44,2.16,2.91
2-Apr-03,13.65,2.19,2.87
3-Apr-03,13.78,2.22,2.84
4-Apr-03,13.89,2.23,2.82
7-Apr-03,14.09,2.26,2.78
8-Apr-03,13.91,2.24,2.81
9-Apr-03,13.73,2.21,2.85
10-Apr-03,13.14,2.11,2.98
11-Apr-03,12.97,2.09,3.02
15-Apr-03,12.99,2.09,3.01
16-Apr-03,13.09,2.1,2.99
17-Apr-03,12.85,2.07,3.04
21-Apr-03,12.94,2.08,3.02
22-Apr-03,12.89,2.07,3.04
23-Apr-03,12.76,2.05,3.07
24-Apr-03,12.7,2.04,3.08
25-Apr-03,12.63,2.03,3.1
28-Apr-03,12.7,2.04,3.08
29-Apr-03,12.73,2.05,3.07
30-Apr-03,13.14,2.11,2.98
2-May-03,10.86,2.02,3.17
5-May-03,10.94,2.04,3.15
6-May-03,11.02,2.05,3.12
7-May-03,11,2.05,3.13
8-May-03,10.9,2.03,3.16
9-May-03,10.86,2.02,3.17
12-May-03,10.84,2.02,3.18
13-May-03,10.93,2.03,3.15
14-May-03,11.02,2.05,3.12
15-May-03,11.11,2.07,3.1
16-May-03,11.26,2.1,3.06
19-May-03,11.19,2.08,3.08
20-May-03,11.25,2.09,3.06
21-May-03,11.21,2.09,3.07
22-May-03,11.15,2.08,3.09
23-May-03,11.2,2.09,3.07
26-May-03,11.37,2.12,3.03
27-May-03,11.47,2.13,3
28-May-03,11.31,2.1,3.04
29-May-03,11.61,2.16,2.97
30-May-03,11.65,2.17,2.95
2-Jun-03,11.59,2.19,2.93
3-Jun-03,11.54,2.18,2.94
4-Jun-03,11.66,2.2,2.91
5-Jun-03,11.82,2.23,2.87
6-Jun-03,11.95,2.25,2.84
9-Jun-03,12.01,2.27,2.83
10-Jun-03,11.85,2.24,2.87
11-Jun-03,11.92,2.25,2.85
12-Jun-03,12,2.27,2.83
13-Jun-03,12.06,2.28,2.82
